mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__n_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0056002140045166016,0.0012001514434814454,0.7350911546930536,0.7326430664756653,1,{'SVM__n_iter': 1},25,0.783882422568554,0.6859564043595642,0.6933813375419214,0.7141254624537546,0.7788025251528902,0.7935300219978002,0.7263787510137876,0.730209419534237,0.6929237631792378,0.7393940240329708,0.0020592824628251813,0.00040009025666136835,0.03971699685221817,0.03544366091809866
0.0046001911163330075,0.0012000083923339843,0.7478837215019046,0.7559467650173758,4,{'SVM__n_iter': 4},24,0.7917488656539752,0.7549432556744327,0.7314805681594003,0.762895585441456,0.7782353521404616,0.7572305269473053,0.7526358475263585,0.7562937583792643,0.6852189781021899,0.7483706986444212,0.0004899013824479931,0.0004000425445315194,0.03758182021672155,0.004657432062002249
0.0056002140045166016,0.0010000705718994141,0.761093902098357,0.7863536222908322,7,{'SVM__n_iter': 7},23,0.7863977115801933,0.8215272222777723,0.7145393568751234,0.7458285421457855,0.7880992306174789,0.7907865463453655,0.754359286293593,0.7993786930830727,0.7620640713706407,0.774247107602165,0.0004898819214545809,1.1680077279964342e-07,0.026778965743940387,0.025358766687387544
0.007000398635864258,0.0012000083923339843,0.8008465547062652,0.7925959019744284,10,{'SVM__n_iter': 10},17,0.7956944170447819,0.787943080691931,0.8586999408167291,0.7571336616338366,0.8422765831524954,0.8267798220177983,0.7892335766423358,0.8320842022940563,0.7181670721816708,0.75903874323452,0.002191036146321832,0.00040004254453151935,0.04910619613459324,0.03204112479367978
0.007600307464599609,0.0020001888275146484,0.801534069698277,0.8191099512497729,13,{'SVM__n_iter': 13},16,0.8125123298480963,0.817196405359464,0.831894851055435,0.8213209929007099,0.7960889721838628,0.8094409309069094,0.7826439578264396,0.8289714608471126,0.7844687753446877,0.818619966234669,0.0008000731588093807,0.0019999265692093432,0.018547653494089857,0.006317116023956724
0.007800436019897461,0.0010000228881835937,0.8332349860742224,0.8226235072071024,16,{'SVM__n_iter': 16},2,0.8444959558098244,0.8275141235876413,0.8278999802722431,0.8124562543745626,0.864963503649635,0.8037727477252276,0.811536901865369,0.8395712299518348,0.8172141119221412,0.829803180396246,0.00040011407365504563,1.1680077279964343e-07,0.019439620547547935,0.012817295386477636
0.010400629043579102,0.0012000560760498046,0.7943680924682346,0.8140873370145979,19,{'SVM__n_iter': 19},21,0.8212911816926415,0.8153840865913409,0.8295028605247583,0.8126218628137186,0.7781860327480765,0.8194805519448056,0.8085969180859693,0.8226249441382393,0.7341849148418491,0.800325239584885,0.004317716618825528,0.00040001873464717136,0.03476559398633055,0.007683775145645581
0.011800670623779297,0.001400136947631836,0.7978738853699211,0.79662561805044,22,{'SVM__n_iter': 22},19,0.7391743933714736,0.7129474552544747,0.8311550601696588,0.8208554144585541,0.7931791280331427,0.8183712878712129,0.8016017842660179,0.8184927255573763,0.8243106244931063,0.8124612071105813,0.003655304181811346,0.0008000612312197759,0.032528464733488506,0.041930724750336455
0.01040058135986328,0.0012000083923339843,0.8162428384144025,0.8078239029838514,25,{'SVM__n_iter': 25},9,0.8360623397119747,0.808512898710129,0.8514006707437364,0.8075848665133486,0.7989988163345827,0.8098815118488153,0.8265409570154096,0.8220275336411936,0.7681467964314681,0.7911127042057698,0.0004899403160383116,0.00040004254453151946,0.029476626615348226,0.009856702250113713
0.012200641632080077,0.0012000083923339843,0.803887076405437,0.8214738517644834,28,{'SVM__n_iter': 28},14,0.8170743736437167,0.8222146535346465,0.8295028605247584,0.8123937606239376,0.8039554152692838,0.8256799320067992,0.7570965125709651,0.8080062316897562,0.8117396593673967,0.8390746809672774,0.003429462578495577,0.0004000425445315194,0.024816750160726278,0.010879833937071077
0.014800834655761718,0.0010000228881835937,0.8162395350818529,0.8141646379579729,31,{'SVM__n_iter': 31},10,0.8112546853422765,0.8122062793720629,0.8530528703886369,0.8158215428457154,0.818899191161965,0.8240394710528948,0.8313057583130576,0.8115348329112667,0.7666261151662612,0.8072210636079249,0.006177764015015068,1.1680077279964342e-07,0.02854405889466577,0.005643083025242894
0.009600448608398437,0.0012000083923339843,0.7974245974600574,0.8124283319967324,34,{'SVM__n_iter': 34},20,0.8313276780430066,0.8149216328367164,0.7782353521404616,0.7969265573442657,0.7847948313276779,0.7887148785121488,0.8087996755879968,0.8327281642584041,0.783961881589619,0.8288504270321267,0.001496796620116145,0.0004000425445315194,0.01994303317469323,0.01726625516910697
0.01020064353942871,0.0006000041961669922,0.8035805067099159,0.8177345743316824,37,{'SVM__n_iter': 37},15,0.7975685539554153,0.7996481601839817,0.802870388636812,0.8085535196480352,0.806865259420004,0.827714103589641,0.7842660178426603,0.8277037092209146,0.826338199513382,0.8250533790158399,0.0019391576385523128,0.0004899013824479931,0.013693191968737336,0.011523451726642275
0.010600519180297852,0.0009999752044677734,0.8055716700816226,0.8255722386944979,40,{'SVM__n_iter': 40},13,0.8161619648845925,0.8092034546545346,0.8101696587098047,0.8245300469953004,0.8342375221937266,0.8263236176382364,0.7930859691808598,0.8490506604101494,0.7741281427412815,0.8187534137742688,0.0012002229726072295,9.536743164062499e-08,0.0204894791354629,0.013170576937648875
