param_SVM__n_iter,test acc,train acc
1,0.676380167451596,0.6702903753340512
4,0.7430337519623235,0.726924534322524
7,0.6130952380952382,0.6160633800007976
10,0.7251439037153323,0.7266513102788082
13,0.7661891679748825,0.7842337760759444
16,0.7918956043956045,0.7978321566750429
19,0.8046834118262689,0.7836434525946312
22,0.757129774986918,0.7524271070160742
25,0.8017399267399267,0.7892704718599177
28,0.7575222396650969,0.7522595827848908
31,0.8206109366823654,0.7883480914203661
34,0.7709314495028782,0.8016742451437915
37,0.7958202511773942,0.8021867895177696
40,0.8291143380429096,0.782351122811216
43,0.7900313971742544,0.7962925292170236
46,0.8038984824699111,0.7890780184276653
49,0.8111917844060702,0.8080162338957361
52,0.7840136054421769,0.7436221131985162
55,0.805468341182627,0.7876730086554186
58,0.7880363683935113,0.7760370547644688
61,0.8076596023024596,0.7916626779944956
64,0.8109955520669807,0.7862181404810339
67,0.805468341182627,0.7782039009213833
70,0.8020669806384093,0.792767540185872
73,0.8036368393511252,0.8096136971002352
