mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__alpha,param_SVM__gamma_frac,param_SVM__n_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
5.690325450897217,0.04260244369506836,0.7957556430574978,0.7953647067266063,0.1,0.2,428,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.2, 'SVM__n_iter': 428}",6,0.794831327678043,0.7998793870612939,0.785707240086802,0.7994263073692631,0.831894851055435,0.790058494150585,0.8053527980535281,0.7942797556978995,0.7609489051094892,0.7931795893539898,0.1181607681928949,0.003773867355518471,0.02328564731377742,0.0037679354260277275
6.155552053451538,0.04860281944274902,0.7945091027734099,0.8005033382716149,0.1,0.4,428,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.4, 'SVM__n_iter': 428}",9,0.8076050503057802,0.8019260573942606,0.7822302229236535,0.7927957204279572,0.8256806076149142,0.7978139686031397,0.7987631792376318,0.8045443542380455,0.7582116788321168,0.805436590694672,0.4292174719855766,0.006312291233367499,0.02293055674369657,0.004676130905996373
5.709526538848877,0.04040236473083496,0.7920235775004524,0.8018800203313002,0.1,0.6000000000000001,428,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.6000000000000001, 'SVM__n_iter': 428}",19,0.8130795028605248,0.805575692430757,0.7895294929966463,0.7966734576542347,0.8059528506608798,0.8021479102089792,0.8033252230332523,0.8025317791350115,0.7481751824817519,0.8024712622275187,0.09988438749467687,0.00471613060340825,0.02320492182092782,0.002884871181926052
5.7749302864074705,0.044202566146850586,0.7950530465338768,0.7983284452167029,0.1,0.8,428,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.8, 'SVM__n_iter': 428}",7,0.8203787729335174,0.80009499050095,0.7741911619648847,0.7941612088791122,0.8059528506608798,0.807397385261474,0.8283657745336578,0.7918513208202989,0.7463503649635037,0.7981373206216793,0.08989752551189478,0.004400285808342254,0.03057564372470144,0.0053799978350850585
5.752529001235962,0.04280247688293457,0.7887277880601035,0.7961420737177984,0.1,1.0,428,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.0, 'SVM__n_iter': 428}",29,0.8068652594200039,0.7930175732426759,0.7696291181692642,0.7959891510848917,0.7833152495561255,0.8046601589841017,0.8347526358475265,0.7909792566661701,0.7490875912408761,0.7960642286111524,0.04662621153838353,0.0037094921949837787,0.029696337603748887,0.004669141354123312
5.8357337474822994,0.04420251846313476,0.7827080128566453,0.7917612617989901,0.1,1.2,428,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.2, 'SVM__n_iter': 428}",34,0.8077776681791281,0.7893648135186482,0.7623298480962714,0.7916552094790522,0.777840797001381,0.7982701729827018,0.8201540957015411,0.7879937558965192,0.7454379562043797,0.7915223571180297,0.07125460139779177,0.0040696772112233685,0.027772572196871622,0.003531892196092695
5.917938327789306,0.044802618026733396,0.780740786459963,0.7840588517678844,0.1,1.4000000000000001,428,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.4000000000000001, 'SVM__n_iter': 428}",38,0.7940915367922667,0.782299895010499,0.7641546656145197,0.785490200979902,0.7824028407970014,0.7921082891710829,0.8155920519059207,0.7813989646953672,0.7474655312246554,0.7789969089825711,0.10193244535322658,0.005418741840126607,0.023562201680255364,0.004530659906667797
5.885136651992798,0.039802265167236325,0.7778206414234917,0.7790346943196839,0.1,1.6,428,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.6, 'SVM__n_iter': 428}",39,0.7922667192740186,0.7836716328367164,0.7731061353324127,0.7733945355464454,0.7652396922469915,0.7845746675332468,0.8137672343876724,0.772751253786186,0.7447283049472831,0.780781381895824,0.09516713374271597,0.003970086575252442,0.023555349481328515,0.005030634859174706
5.821332883834839,0.046202802658081056,0.7701986393224522,0.7751011080864703,0.1,1.8,428,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.8, 'SVM__n_iter': 428}",44,0.7993933714736635,0.7802532246775323,0.785707240086802,0.7667795720427958,0.7515535608601301,0.7795626687331266,0.7998783454987834,0.771838845027062,0.7144160583941606,0.7770712299518346,0.051949086709509915,0.003709708155834053,0.03295438421092079,0.005103362251124835
5.910138034820557,0.0438025951385498,0.7619982296912183,0.7603933144100556,0.1,2.0,428,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 2.0, 'SVM__n_iter': 428}",47,0.7902692838824225,0.7642829467053295,0.7873594397317025,0.7464722277772223,0.749728743341882,0.7743163183681633,0.7798053527980536,0.7653914668057004,0.702757502027575,0.7515036123938627,0.11852498755180857,0.0034872657002288023,0.03291414233367556,0.010067614026725133
5.3167040824890135,0.04600262641906738,0.7940627713649256,0.8129981092026852,0.03162277660168379,0.2,428,"{'SVM__alpha': 0.03162277660168379, 'SVM__gamma_frac': 0.2, 'SVM__n_iter': 428}",12,0.7805780232787533,0.8238394910508949,0.794831327678043,0.8099190080991902,0.8139919116196488,0.8030634436556345,0.8135644768856447,0.8115953498187596,0.7673357664233578,0.8165732533889468,0.034123021417480845,0.002683353654551175,0.01829492905508183,0.006934888511832661
