param_SVM__n_iter,test acc,train acc
1,0.7273024594453168,0.7124985042479358
6,0.737800889586604,0.7504218020820869
11,0.7506214024071167,0.7491214949543298
16,0.7747906855049713,0.7725270232539586
21,0.7597462061747776,0.7672749391727495
26,0.8097854526425955,0.8180826452873838
31,0.8071690214547358,0.8100883490885883
36,0.8073652537938252,0.817850305133421
41,0.818059916274202,0.8109309560847193
46,0.697965724751439,0.7249641019504608
51,0.7952315541601257,0.8183080052650472
56,0.8047161172161174,0.8109937776714131
61,0.7335164835164837,0.7024939172749392
66,0.7897697540554683,0.7885834230784571
71,0.760465724751439,0.7403723425471661
76,0.7553963893249608,0.7517121375294163
81,0.6895931449502879,0.7153773283873798
86,0.7725340136054423,0.7840812093654022
91,0.8107339089481946,0.787815603685533
96,0.7256017791732078,0.7058832914522755
101,0.836211407639979,0.8162827569702047
106,0.8065803244374673,0.8272994695066013
111,0.7754120879120879,0.8191027481951259
116,0.741921768707483,0.7519594352040205
121,0.7384222919937207,0.7168680946113039
126,0.8037022501308215,0.8011716724502412
131,0.801216640502355,0.8137180407642295
136,0.7152014652014653,0.7145227553747358
141,0.8336603872318157,0.8140979617885207
146,0.731848508634223,0.7624027761158311
151,0.7508830455259028,0.7255643971122011
156,0.7688710099424386,0.7629033544732957
161,0.7661237571951859,0.7831638147660643
166,0.8193681318681318,0.7936201188624307
171,0.7441457352171639,0.7333512823581029
176,0.7404827315541602,0.7212626141757408
181,0.8212650444793301,0.8237874436600054
186,0.825320512820513,0.8278668581229308
191,0.7724686028257457,0.7744824697858083
196,0.761512297226583,0.7503041362530413
