param_SVM__n_iter,test acc,train acc
1,0.7593210361067504,0.73357065932751
4,0.844420460491889,0.7958547724462526
7,0.8140044479330195,0.7938953372422322
10,0.7952642595499739,0.7712695943520402
13,0.8607404500261644,0.8233247576881655
16,0.815410779696494,0.8151380080571177
19,0.836047880690738,0.8285818276095889
22,0.828394819466248,0.8101760998763511
25,0.8255167451596023,0.8079085397471182
28,0.8190410779696494,0.8218250169518567
31,0.8538723181580324,0.8295341230904232
34,0.8063840920983779,0.8240895855769615
37,0.8461538461538461,0.824987036815444
40,0.7849620617477762,0.7882733038171591
43,0.8357862375719519,0.8153653623708667
46,0.806416797488226,0.8257169638227435
49,0.8537742019884879,0.8253769295201627
52,0.8491300366300366,0.824992022655658
55,0.8488029827315542,0.8276943480515335
58,0.8246991104133962,0.8219147620757049
61,0.8230311355311356,0.8215398268916276
64,0.8404958137100995,0.8235570978421284
67,0.8258437990580848,0.8138107773922061
70,0.8443550497121927,0.8200999162378845
73,0.8465136054421769,0.818635076383072
