param_MLP__max_iter,test acc,train acc
1,0.5008503401360546,0.500912408759124
2,0.5021258503401361,0.4967253001475808
4,0.5815345368916798,0.5885186071556777
8,0.6623168498168499,0.6544294204459334
16,0.7022501308215595,0.678374416656695
32,0.7237375719518576,0.676664273463364
64,0.581174777603349,0.5819951338199513
128,0.4995748299319728,0.5000000000000001
256,0.5662611198325485,0.5717631925332057
512,0.5662611198325485,0.5717631925332057
1024,0.5662611198325485,0.5717631925332057
2048,0.5662611198325485,0.5717631925332057
2100,0.5662611198325485,0.5717631925332057
2200,0.5662611198325485,0.5717631925332057
2300,0.5662611198325485,0.5717631925332057
2400,0.5662611198325485,0.5717631925332057
2500,0.5662611198325485,0.5717631925332057
2600,0.5662611198325485,0.5717631925332057
2700,0.5662611198325485,0.5717631925332057
2800,0.5662611198325485,0.5717631925332057
2900,0.5662611198325485,0.5717631925332057
3000,0.5662611198325485,0.5717631925332057
