param_MLP__max_iter,test acc,train acc
1,0.5008503401360546,0.500912408759124
2,0.5021258503401361,0.4967253001475808
4,0.5815345368916798,0.5885186071556777
8,0.6623168498168499,0.6546119021977582
16,0.7018249607535322,0.678374416656695
32,0.7228872318158034,0.6764817917115392
64,0.5820251177394035,0.5759881935303738
128,0.4995748299319728,0.5000000000000001
256,0.5230900052328624,0.5353366439312353
512,0.5230900052328624,0.5353366439312353
1024,0.5230900052328624,0.5353366439312353
2048,0.5230900052328624,0.5353366439312353
2100,0.5230900052328624,0.5353366439312353
2200,0.5230900052328624,0.5353366439312353
2300,0.5230900052328624,0.5353366439312353
2400,0.5230900052328624,0.5353366439312353
2500,0.5230900052328624,0.5353366439312353
2600,0.5230900052328624,0.5353366439312353
2700,0.5230900052328624,0.5353366439312353
2800,0.5230900052328624,0.5353366439312353
2900,0.5230900052328624,0.5353366439312353
3000,0.5230900052328624,0.5353366439312353
