mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0038002490997314452,0.007800436019897461,0.5882240943381382,1.0,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",3,0.6196241862300256,1.0,0.5997238114026435,1.0,0.5978989938843953,1.0,0.559610705596107,1.0,0.5641727493917275,1.0,0.0016002178298705574,0.001166318478315723,0.022840320976076484,0.0
0.003400230407714844,0.008400392532348634,0.5882240943381382,1.0,manhattan,1,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'distance'}",3,0.6196241862300256,1.0,0.5997238114026435,1.0,0.5978989938843953,1.0,0.559610705596107,1.0,0.5641727493917275,1.0,0.001019963783394754,0.0017436137118467454,0.022840320976076484,0.0
0.003000164031982422,0.009600591659545899,0.5173885456910097,0.5800461620504616,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",24,0.5270270270270271,0.5776266123387662,0.5116886959952652,0.5817355764423559,0.4963503649635036,0.5748862613738628,0.5129764801297648,0.5814045508714434,0.5389294403892944,0.58457780922588,1.1680077279964343e-07,0.0007999897074229016,0.014500776180176188,0.0033974685605231212
0.003000307083129883,0.010600566864013672,0.5565631272886967,1.0,manhattan,4,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",9,0.5918573683172224,1.0,0.5314164529492996,1.0,0.560268297494575,1.0,0.550081103000811,1.0,0.5491686942416869,1.0,1.784161275279017e-07,0.0008000731730189359,0.019948214981693867,0.0
0.0034001350402832033,0.010600614547729491,0.525066613519383,0.5836576121299434,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",19,0.5648303412901953,0.5735176482351765,0.5116886959952652,0.5821917808219178,0.5107762872361412,0.5675807419258075,0.5259529602595295,0.594325686478971,0.5120640713706407,0.6006722031878443,0.0004898430110735554,0.0004898235384771108,0.020665708748679474,0.012383354989302198
0.003200244903564453,0.011200618743896485,0.5247017124453439,1.0,manhattan,7,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",20,0.5648303412901953,1.0,0.5107762872361413,1.0,0.5107762872361412,1.0,0.5259529602595295,1.0,0.5111516626115166,1.0,0.0004000902282460696,0.0007484046984738268,0.02090209748969086,0.0
0.0036001682281494142,0.011200666427612305,0.5153852779114672,0.5427781414035467,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",26,0.55314164529493,0.5269410558944106,0.49908759124087587,0.5445205479452057,0.5126011047543894,0.5374431306869314,0.49908759124087587,0.5439895848850488,0.5129764801297648,0.5609963876061372,0.0004898235152673564,0.0011663430164020187,0.01985552951754388,0.01109669939516775
0.004000282287597657,0.01520090103149414,0.5228398186750145,1.0,manhattan,10,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'distance'}",21,0.580168672321957,1.0,0.4981751824817517,1.0,0.5126011047543894,1.0,0.5120640713706407,1.0,0.5111516626115166,1.0,0.0006324850929980568,0.002638344242451731,0.02917183605939038,0.0
0.0046002864837646484,0.01520085334777832,0.5126807259424608,0.5406507435991095,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",34,0.5396281317814164,0.5303657134286572,0.49908759124087587,0.5445205479452057,0.5126011047543894,0.5374431306869314,0.5,0.5403601221510501,0.5120640713706407,0.5505642037837032,0.001200079921460192,0.0026383297796101555,0.014646373414522684,0.006773583476065622
0.0034001827239990234,0.014200830459594726,0.5126807259424608,1.0,manhattan,13,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'distance'}",34,0.5396281317814164,1.0,0.49908759124087587,1.0,0.5126011047543894,1.0,0.5,1.0,0.5120640713706407,1.0,0.0004899987222241536,0.002785821524812881,0.014646373414522684,0.0
0.0034001827239990234,0.013800764083862304,0.5078194418375864,0.5183459970329498,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",40,0.5135135135135135,0.5100458704129587,0.5,0.5308219178082193,0.5135135135135135,0.5102739726027398,0.5,0.520408163265306,0.5120640713706407,0.520180061075525,0.0004899987222241536,0.001833011881312326,0.006405530185609487,0.007711220396055755
0.003400278091430664,0.014200687408447266,0.5130459391645529,1.0,manhattan,16,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'distance'}",32,0.5405405405405406,1.0,0.5,1.0,0.5126011047543894,1.0,0.5,1.0,0.5120640713706407,1.0,0.0004899208705145337,0.0029934880937735843,0.014818679213533222,0.0
