param_SVM__n_iter,test acc,train acc
1,0.6903780743066458,0.6797993697897968
4,0.6878270538984826,0.6863587411750628
7,0.5463435374149661,0.5532846715328467
10,0.7711603872318159,0.7281889434007418
13,0.7786826268969128,0.78708069083802
16,0.7512755102040817,0.7659726377089067
19,0.7821493982208267,0.7759971680427585
22,0.807986656200942,0.7979448366638745
25,0.7248822605965464,0.7050606278169997
28,0.7881017791732079,0.7836514299389733
31,0.8268576661433804,0.7645476845758048
34,0.7413330716902147,0.7394250329065454
37,0.7028061224489797,0.6921782138726017
40,0.8312728937728938,0.7899904271867895
43,0.7940541601255888,0.7976925531490566
46,0.7879055468341184,0.7718469546487974
49,0.7329604918890634,0.7250349008814964
52,0.7561486132914704,0.7278110167125365
55,0.8057626896912612,0.8041591879063461
58,0.7837519623233908,0.7881955247098242
61,0.7052917320774464,0.7006710940927765
64,0.7805468341182628,0.8030692832356108
67,0.7887885923600211,0.7680627019265286
70,0.778453689167975,0.7647600813689124
73,0.7523874934589221,0.7693879382553548
