mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.12140703201293945,0.0012000560760498046,0.5094989427198612,0.5108390734055847,relu,10.0,"(10,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (10,)}",39,0.5,0.5029684531546846,0.5,0.5063931106889311,0.4981751824817517,0.5127862213778622,0.5502838605028385,0.5261572694771339,0.4990875912408759,0.5058903123293113,0.011271752638255987,0.000400018706226792,0.020390614813343453,0.00830231292971015
0.3170180797576904,0.0010001182556152344,0.6127220865906123,0.6091491105991442,relu,10.0,"(5,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (5,)}",13,0.71984119155652,0.6675582441755825,0.49726277372262767,0.5059369063093692,0.49908759124087587,0.505024497550245,0.6926196269261963,0.679235562838274,0.6550081103000811,0.6879903421222504,0.1391294936124271,1.784161275279017e-07,0.09581993499188482,0.08489331141807971
0.043402481079101565,0.0010000228881835937,0.5252073632324898,0.5314658160034337,relu,10.0,"(20,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (20,)}",37,0.5540540540540542,0.5159827767223277,0.5,0.5262567493250676,0.5062142434405208,0.5550257474252576,0.5407542579075426,0.5126930334177466,0.5250405515004055,0.5473707731267689,0.006020344726750101,1.1680077279964343e-07,0.02035199229884552,0.01689564604710683
0.10020570755004883,0.001200103759765625,0.5011314673261453,0.5037405910769468,relu,10.0,"(10, 10)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (10, 10)}",56,0.4981751824817518,0.5070805419458054,0.4936131386861314,0.5082210528947105,0.5,0.5,0.5138888888888888,0.5,0.5,0.5034013605442177,0.013615425917833256,0.0004001140736550456,0.006789025057300768,0.003444675034630464
0.0944054126739502,0.0008000373840332031,0.5,0.4999543795620438,relu,10.0,"(5, 5)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (5, 5)}",59,0.5,0.5,0.5,0.5,0.5,0.499771897810219,0.5,0.5,0.5,0.5,0.0030725801490358567,0.000400018706226792,0.0,9.12408759123906e-05
0.11440658569335938,0.0014000415802001953,0.5,0.5,relu,10.0,"(20, 20)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (20, 20)}",59,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.013633135576155883,0.0004899403160383116,0.0,0.0
0.15320882797241211,0.001199960708618164,0.5,0.5,relu,10.0,"(10, 10, 10)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (10, 10, 10)}",59,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.014635085864280233,0.0004000663757324219,0.0,0.0
0.2724155426025391,0.0016001224517822265,0.5,0.5,relu,10.0,"(5, 5, 5)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (5, 5, 5)}",59,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.019232367268195754,0.0007999420166015626,0.0,0.0
0.08680491447448731,0.001600170135498047,0.5,0.5,relu,10.0,"(20, 20, 20)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (20, 20, 20)}",59,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.004166860793485368,0.0004899987222241536,0.0,0.0
0.13000736236572266,0.0012001991271972656,0.5015346932444779,0.5003190582302314,relu,3.1622776601683795,"(10,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (10,)}",55,0.5,0.499771897810219,0.48722627737226276,0.5089147335266474,0.49908759124087587,0.49931569343065696,0.5213909164639091,0.4935929663836337,0.5,0.5,0.016793935665426595,0.0003998279713702896,0.01104027136168574,0.004909864945817062
0.3444197654724121,0.0012000560760498046,0.6346631916508131,0.6340607265804031,relu,3.1622776601683795,"(5,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (5,)}",12,0.7180163740382718,0.6604839516048395,0.5143026237916748,0.5788358664133587,0.6025103570724007,0.5793014448555145,0.6790348742903488,0.6659528775013654,0.6595701540957016,0.6857294925269377,0.09838761119483036,0.000400018706226792,0.07080980591633944,0.045680021017925426
0.05200304985046387,0.0012000560760498046,0.5333498492461761,0.5321730709582103,relu,3.1622776601683795,"(20,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (20,)}",25,0.5540540540540542,0.5093615638436158,0.5,0.5232882961703831,0.5062142434405208,0.5527416008399161,0.5815085158150851,0.5305920725954614,0.5250405515004055,0.5448818213416752,0.00936001114447094,0.000400018706226792,0.030543824776135292,0.015403768327889542
0.09960575103759765,0.0012000083923339843,0.5,0.5,relu,3.1622776601683795,"(10, 10)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (10, 10)}",59,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.003498750985009609,0.00039992333879854,0.0,0.0
