,0,1,2,3,4
50,1.0,1.0,1.0,1.0,1.0
100,1.0,1.0,1.0,1.0,1.0
292,1.0,1.0,1.0,1.0,1.0
584,1.0,1.0,1.0,1.0,1.0
876,1.0,1.0,1.0,1.0,1.0
1169,1.0,1.0,1.0,1.0,1.0
1461,1.0,1.0,1.0,1.0,1.0
1753,1.0,1.0,1.0,1.0,1.0
2046,1.0,1.0,1.0,1.0,1.0
