mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_MLP__max_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.00760040283203125,0.001400136947631836,0.5007304264441842,0.5007755474452555,1,{'MLP__max_iter': 1},20,0.5009124087591241,0.500684306569343,0.5,0.5009124087591241,0.5027372262773724,0.5002281021897811,0.5,0.5009124087591241,0.5,0.5011405109489052,0.0016248660043309698,0.0004898624643296147,0.0010642349005554768,0.0003094128641936814
0.014800739288330079,0.0014001846313476563,0.4983207128407166,0.4983598238815574,2,{'MLP__max_iter': 2},22,0.5018248175182481,0.49748775122487754,0.5009124087591241,0.4977158534146585,0.5027372262773724,0.4972596490350965,0.48611111111111116,0.5013686131386861,0.5,0.49796725259446845,0.0011661712798998742,0.0004899208705145337,0.006168728490633648,0.0015226633497140152
0.025601577758789063,0.0012001514434814454,0.5323758920150863,0.5331269169001468,4,{'MLP__max_iter': 4},5,0.5456204379562044,0.5310125237476253,0.541970802919708,0.5303282171782823,0.5556569343065694,0.528959604039596,0.5068937550689375,0.5390256467550524,0.5116585563665855,0.5363085927801778,0.0018548155144200126,0.00039997100830078123,0.019429263791306293,0.0038623296162039935
0.051602935791015624,0.001200103759765625,0.6405250789944548,0.6404168214130967,8,{'MLP__max_iter': 8},3,0.6543696981653185,0.6368363163683631,0.6244328269875714,0.64254199580042,0.6536299072795424,0.6402609739026098,0.6410178426601785,0.6404240528328119,0.6291565287915653,0.6420207681612792,0.003441096449363976,0.00039999486081696955,0.012264993067112154,0.0019966656436598926
0.12700719833374025,0.0014000892639160155,0.6736090727749507,0.6768923277740254,16,{'MLP__max_iter': 16},2,0.7027273623988952,0.6710360213978602,0.6313375419214835,0.6863313668633136,0.6912112842769778,0.6735482701729828,0.6921127331711274,0.6733716296737673,0.6506488240064884,0.6801743507622028,0.011593733631547675,0.0004899987222241536,0.02762345287418543,0.00561678724090206
0.21261200904846192,0.0014001846313476563,0.6879542405652341,0.6834413497425768,32,{'MLP__max_iter': 32},1,0.7295324521601894,0.670539196080392,0.6716561451962911,0.688346790320968,0.6601400670743736,0.6887998700129987,0.7081305758313058,0.6809129673767317,0.6703163017031631,0.6886079249217936,0.044985302176512094,0.0004900182064194829,0.026409627328098848,0.007103926693733441
0.3338191032409668,0.0016001224517822265,0.6148973291997657,0.6145798090259001,64,{'MLP__max_iter': 64},4,0.6591290195304793,0.6005524447555245,0.6039899388439535,0.6316024647535247,0.5915614519629119,0.617216403359664,0.5820154095701542,0.6166378047569393,0.6377737226277372,0.6068899275038482,0.023912846634050185,0.0004898624411217045,0.02906775746286671,0.010553283946981113
0.672038459777832,0.0014000892639160155,0.5,0.5,128,{'MLP__max_iter': 128},21,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.031838775237398045,0.0004899013824479931,0.0,0.0
1.3208755016326905,0.001399993896484375,0.5022271069924216,0.5209814775325189,256,{'MLP__max_iter': 256},19,0.5,0.5,0.5,0.5442924457554246,0.49726277372262767,0.5438362413758625,0.5138888888888888,0.5170068027210883,0.5,0.4997718978102189,0.06826049220400418,0.0004898819214545809,0.0059228499594227825,0.019857533487949296
1.4990857601165772,0.0010000228881835937,0.515749866837453,0.528451466077882,512,{'MLP__max_iter': 512},6,0.5270270270270271,0.5034246575342466,0.5,0.5477171032896712,0.5378033142631683,0.5605033246675334,0.5138888888888888,0.520408163265306,0.5,0.5102040816326531,0.053275862357678665,1.1680077279964343e-07,0.014922735072589288,0.02201131218866264
1.4830848217010497,0.0014000415802001953,0.515749866837453,0.528451466077882,1024,{'MLP__max_iter': 1024},6,0.5270270270270271,0.5034246575342466,0.5,0.5477171032896712,0.5378033142631683,0.5605033246675334,0.5138888888888888,0.520408163265306,0.5,0.5102040816326531,0.15721083494329652,0.0004900376480808073,0.014922735072589288,0.02201131218866264
1.5202868938446046,0.0012001991271972656,0.515749866837453,0.528451466077882,2048,{'MLP__max_iter': 2048},6,0.5270270270270271,0.5034246575342466,0.5,0.5477171032896712,0.5378033142631683,0.5605033246675334,0.5138888888888888,0.520408163265306,0.5,0.5102040816326531,0.15813859393673504,0.0004000663757324219,0.014922735072589288,0.02201131218866264
1.5250872135162354,0.0010000705718994141,0.515749866837453,0.528451466077882,2100,{'MLP__max_iter': 2100},6,0.5270270270270271,0.5034246575342466,0.5,0.5477171032896712,0.5378033142631683,0.5605033246675334,0.5138888888888888,0.520408163265306,0.5,0.5102040816326531,0.10022147520538519,1.1680077279964343e-07,0.014922735072589288,0.02201131218866264
1.5980913639068604,0.0010000228881835937,0.515749866837453,0.528451466077882,2200,{'MLP__max_iter': 2200},6,0.5270270270270271,0.5034246575342466,0.5,0.5477171032896712,0.5378033142631683,0.5605033246675334,0.5138888888888888,0.520408163265306,0.5,0.5102040816326531,0.11916556651872534,0.000632409702918353,0.014922735072589288,0.02201131218866264
1.4444825172424316,0.0010000705718994141,0.515749866837453,0.528451466077882,2300,{'MLP__max_iter': 2300},6,0.5270270270270271,0.5034246575342466,0.5,0.5477171032896712,0.5378033142631683,0.5605033246675334,0.5138888888888888,0.520408163265306,0.5,0.5102040816326531,0.06538140032821056,1.1680077279964342e-07,0.014922735072589288,0.02201131218866264
